date,district,domestic_tourists,foreign_tourists,total_tourists,hotel_revenue,bar_revenue,boating_revenue,total_revenue,hotel_room_keys,hotel_class,growth_rate_domestic,growth_rate_foreign,growth_rate_total,top_district_rank,data_source,crimes_reported
01-05-2015,Kakinada,64471,4498,68969,1879494,631398,14535,2525426,1200,3 Star,0.042,0.023,0.033,10,fabricated_data,49
01-05-2015,Nandyal,45402,2789,48191,1071644,286021,13423,1371088,500,3 Star,0.045,0.067,0.056,3,fabricated_data,71
01-05-2015,Krishna,98096,8328,106424,2563656,695620,56055,3315331,700,5 Star,0.024,0.012,0.018,1,fabricated_data,68
01-06-2015,Tirupati,119528,10997,130525,2840869,1045618,50278,3936764,1000,5 Star,0.066,0.014,0.04,9,fabricated_data,50
01-06-2015,NTR,80193,6241,86434,2297307,726910,43680,3067897,1000,3 Star,0.067,0.061,0.064,10,fabricated_data,72
01-06-2015,Guntur,68361,5910,74271,1455515,667904,32060,2155479,500,3 Star,0.081,0.013,0.047,8,fabricated_data,31
01-06-2015,Visakhapatnam,143947,17871,161818,4075674,941253,111972,5128899,1200,3 Star,0.027,0.065,0.046,1,fabricated_data,36
01-06-2015,Alluri Seetarama Raju,54345,5167,59512,1424007,463041,19903,1906951,1200,4 Star,0.048,0.051,0.05,3,fabricated_data,75
01-06-2015,Srikakulam,52361,3615,55976,1457549,365622,19840,1843011,1000,3 Star,0.096,0.02,0.058,8,fabricated_data,72
01-06-2015,Chittoor,101163,7306,108469,2069655,819828,32071,2921553,1000,5 Star,0.039,0.015,0.027,9,fabricated_data,53
01-06-2015,Kakinada,67118,4074,71192,1810621,396019,23572,2230211,500,5 Star,0.09,0.046,0.068,2,fabricated_data,60
01-06-2015,Nandyal,45348,3289,48637,1063448,305559,10285,1379293,500,3 Star,0.057,0.024,0.041,2,fabricated_data,36
01-06-2015,Krishna,86941,7382,94323,1819058,643861,42455,2505375,1000,5 Star,0.05,0.01,0.03,4,fabricated_data,70
01-07-2015,Tirupati,83972,5794,89766,1855235,575406,28611,2459253,700,5 Star,0.063,0.06,0.061,10,fabricated_data,50
01-07-2015,NTR,53227,5107,58334,1541032,402310,26191,1969533,1500,4 Star,0.056,0.047,0.052,9,fabricated_data,66
01-07-2015,Guntur,44949,4076,49025,1276871,244793,20956,1542620,500,3 Star,0.047,0.043,0.045,10,fabricated_data,69
01-07-2015,Visakhapatnam,95970,10512,106482,2434861,761446,62880,3259187,500,5 Star,0.05,0.034,0.042,4,fabricated_data,62
01-07-2015,Alluri Seetarama Raju,40566,3061,43627,1211510,325699,12088,1549297,1500,4 Star,0.049,0.044,0.046,8,fabricated_data,74
01-07-2015,Srikakulam,32977,2417,35394,794877,326864,8334,1130075,700,5 Star,0.089,0.067,0.078,1,fabricated_data,54
01-07-2015,Chittoor,66853,6139,72992,1817370,513109,30121,2360600,1500,3 Star,0.035,0.033,0.034,3,fabricated_data,39
01-07-2015,Kakinada,46078,2825,48903,1247437,407279,9461,1664178,1000,5 Star,0.058,0.047,0.053,1,fabricated_data,48
01-07-2015,Nandyal,31707,2029,33736,808187,190516,11643,1010346,1200,3 Star,0.031,0.01,0.021,9,fabricated_data,59
01-07-2015,Krishna,59658,5062,64720,1401288,575559,32004,2008851,1200,4 Star,0.03,0.061,0.045,9,fabricated_data,40
01-08-2015,Tirupati,78067,7218,85285,2124669,409108,44218,2577995,1000,3 Star,0.08,0.066,0.073,3,fabricated_data,50
01-08-2015,NTR,59523,5037,64560,1501804,404408,32785,1938997,500,4 Star,0.085,0.041,0.063,3,fabricated_data,61
01-08-2015,Guntur,48381,3926,52307,1247014,327869,17926,1592808,700,4 Star,0.025,0.026,0.026,7,fabricated_data,35
01-08-2015,Visakhapatnam,104444,12459,116903,2438669,594951,76948,3110568,1500,3 Star,0.063,0.073,0.068,4,fabricated_data,79
01-08-2015,Alluri Seetarama Raju,42019,3398,45417,1167528,240165,12974,1420668,700,4 Star,0.06,0.063,0.061,6,fabricated_data,71
01-08-2015,Srikakulam,33196,2649,35845,706241,231922,16395,954558,1500,3 Star,0.038,0.061,0.05,2,fabricated_data,30
01-08-2015,Chittoor,65260,5710,70970,1772578,521763,36014,2330356,700,4 Star,0.038,0.04,0.039,10,fabricated_data,77
01-08-2015,Kakinada,40949,2872,43821,1026136,329937,8824,1364898,1200,5 Star,0.095,0.05,0.073,4,fabricated_data,69
01-08-2015,Nandyal,28947,2090,31037,802193,198929,6846,1007968,1000,3 Star,0.028,0.069,0.049,7,fabricated_data,36
01-08-2015,Krishna,56830,4678,61508,1242486,522123,20249,1784858,1000,5 Star,0.052,0.014,0.033,9,fabricated_data,40
01-09-2015,Tirupati,105755,8248,114003,2235943,747955,53233,3037131,700,5 Star,0.048,0.062,0.055,1,fabricated_data,50
01-09-2015,NTR,63459,6742,70201,1426702,500575,24690,1951966,1500,3 Star,0.049,0.051,0.05,6,fabricated_data,41
01-09-2015,Guntur,56552,5022,61574,1682728,412544,26261,2121533,1200,5 Star,0.1,0.045,0.073,1,fabricated_data,45
01-09-2015,Visakhapatnam,117535,14670,132205,3290724,793001,71486,4155211,500,3 Star,0.05,0.069,0.06,3,fabricated_data,33
01-09-2015,Alluri Seetarama Raju,52755,3943,56698,1331742,380037,18150,1729929,1000,5 Star,0.028,0.033,0.03,7,fabricated_data,77
01-09-2015,Srikakulam,43859,2793,46652,1159632,308928,8663,1477223,1200,4 Star,0.089,0.039,0.064,9,fabricated_data,41
01-09-2015,Chittoor,75697,7360,83057,1528860,417889,45630,1992378,1000,5 Star,0.072,0.027,0.049,2,fabricated_data,70
01-09-2015,Kakinada,60376,3608,63984,1694664,592485,24454,2311602,1500,4 Star,0.043,0.073,0.058,7,fabricated_data,61
01-09-2015,Nandyal,41887,2761,44648,889168,392993,15383,1297544,700,4 Star,0.093,0.054,0.073,10,fabricated_data,71
01-09-2015,Krishna,72945,5591,78536,2064821,490625,34079,2589525,500,4 Star,0.089,0.025,0.057,10,fabricated_data,68
01-10-2015,Tirupati,92802,8884,101686,2308386,879091,55076,3242553,500,4 Star,0.022,0.029,0.026,8,fabricated_data,50
01-10-2015,NTR,68635,5492,74127,1815433,487893,19382,2322708,1500,3 Star,0.075,0.058,0.067,6,fabricated_data,75
01-10-2015,Guntur,55413,5114,60527,1260122,430608,28667,1719398,700,5 Star,0.029,0.02,0.025,9,fabricated_data,43
01-10-2015,Visakhapatnam,125572,13878,139450,3306434,938195,73459,4318087,500,4 Star,0.052,0.064,0.058,2,fabricated_data,38
01-10-2015,Alluri Seetarama Raju,52380,3499,55879,1363531,326157,15946,1705634,1000,3 Star,0.078,0.053,0.066,6,fabricated_data,53
01-10-2015,Srikakulam,46473,3393,49866,1269908,282310,10602,1562820,1200,5 Star,0.068,0.014,0.041,2,fabricated_data,61
01-10-2015,Chittoor,79587,6673,86260,1871520,562200,38835,2472555,700,3 Star,0.04,0.067,0.054,5,fabricated_data,30
01-10-2015,Kakinada,60144,2980,63124,1264885,395325,18565,1678775,500,3 Star,0.083,0.058,0.071,1,fabricated_data,39
01-10-2015,Nandyal,40335,2779,43114,1102043,364338,15660,1482041,500,4 Star,0.059,0.025,0.042,10,fabricated_data,32
01-10-2015,Krishna,77548,5611,83159,2007147,775229,29308,2811684,700,5 Star,0.023,0.059,0.041,9,fabricated_data,39
01-11-2015,Tirupati,119997,10155,130152,3354326,1047013,32694,4434033,1000,4 Star,0.062,0.055,0.058,8,fabricated_data,50
01-11-2015,NTR,84094,6810,90904,2267417,563377,40173,2870967,1200,5 Star,0.045,0.048,0.046,6,fabricated_data,45
01-11-2015,Guntur,79963,7252,87215,2091723,492956,22464,2607142,700,4 Star,0.022,0.071,0.046,2,fabricated_data,76
01-11-2015,Visakhapatnam,165322,22412,187734,3886244,1460776,103268,5450288,1500,3 Star,0.066,0.029,0.048,9,fabricated_data,68
01-11-2015,Alluri Seetarama Raju,63930,5077,69007,1750136,395975,17475,2163586,700,4 Star,0.039,0.013,0.026,1,fabricated_data,75
01-11-2015,Srikakulam,53177,3443,56620,1271797,298971,23501,1594269,1500,3 Star,0.041,0.051,0.046,7,fabricated_data,73
01-11-2015,Chittoor,113250,9011,122261,2959688,660833,62759,3683280,1000,3 Star,0.072,0.053,0.062,10,fabricated_data,32
01-11-2015,Kakinada,69842,3917,73759,2065417,637729,24297,2727443,500,3 Star,0.094,0.08,0.087,10,fabricated_data,55
01-11-2015,Nandyal,51908,3733,55641,1504001,379806,20501,1904308,1500,5 Star,0.023,0.073,0.048,5,fabricated_data,34
01-11-2015,Krishna,104860,7855,112715,2233009,990271,53592,3276872,1200,4 Star,0.085,0.056,0.071,5,fabricated_data,66
01-12-2015,Tirupati,124316,9628,133944,2492638,1054022,30763,3577423,700,4 Star,0.097,0.018,0.058,5,fabricated_data,50
01-12-2015,NTR,83019,8696,91715,2088824,791384,45961,2926169,700,5 Star,0.089,0.061,0.075,8,fabricated_data,69
01-12-2015,Guntur,80471,7183,87654,2307340,687368,45598,3040307,500,3 Star,0.074,0.053,0.064,6,fabricated_data,39
01-12-2015,Visakhapatnam,167907,22198,190105,4139697,1577546,67051,5784294,1000,3 Star,0.079,0.021,0.05,4,fabricated_data,57
01-12-2015,Alluri Seetarama Raju,68336,4823,73159,1498699,370415,20767,1889881,500,3 Star,0.029,0.036,0.033,8,fabricated_data,70
01-12-2015,Srikakulam,54152,3646,57798,1093019,387794,23190,1504003,1200,5 Star,0.095,0.017,0.056,4,fabricated_data,38
01-12-2015,Chittoor,109633,10321,119954,2375065,970792,60216,3406072,500,4 Star,0.07,0.013,0.042,2,fabricated_data,79
01-12-2015,Kakinada,74017,4476,78493,1959655,590062,20296,2570013,1500,5 Star,0.086,0.036,0.061,3,fabricated_data,42
01-12-2015,Nandyal,46810,2917,49727,1155523,455064,9943,1620531,500,5 Star,0.062,0.068,0.065,4,fabricated_data,71
01-12-2015,Krishna,102820,7765,110585,2191439,960367,53213,3205019,1200,3 Star,0.095,0.039,0.067,4,fabricated_data,49
01-01-2016,Tirupati,124129,11910,136039,2990682,1175563,46685,4212930,1500,5 Star,0.022,0.056,0.039,2,fabricated_data,59
01-01-2016,NTR,90512,8895,99407,1978163,845664,54316,2878143,1000,4 Star,0.062,0.011,0.036,5,fabricated_data,75
01-01-2016,Guntur,85293,5886,91179,2099997,426990,31745,2558732,1200,3 Star,0.036,0.044,0.04,6,fabricated_data,59
01-01-2016,Visakhapatnam,148792,21240,170032,3437634,1082626,64707,4584967,700,4 Star,0.051,0.044,0.048,6,fabricated_data,44
01-01-2016,Alluri Seetarama Raju,67534,5761,73295,1877345,351048,28356,2256748,500,3 Star,0.028,0.05,0.039,6,fabricated_data,60
01-01-2016,Srikakulam,60868,3969,64837,1223307,403695,20126,1647129,500,3 Star,0.048,0.012,0.03,4,fabricated_data,47
01-01-2016,Chittoor,100299,10403,110702,2207440,849128,65391,3121959,700,5 Star,0.074,0.077,0.075,3,fabricated_data,74
01-01-2016,Kakinada,72855,4709,77564,1903660,473133,31742,2408536,700,4 Star,0.083,0.053,0.068,7,fabricated_data,63
01-01-2016,Nandyal,52551,3345,55896,1462932,389115,10580,1862627,1200,4 Star,0.055,0.061,0.058,7,fabricated_data,62
01-01-2016,Krishna,97095,8743,105838,2261359,713737,52258,3027354,1500,5 Star,0.055,0.013,0.034,2,fabricated_data,31
01-02-2016,Tirupati,103065,7597,110662,2620406,769523,25268,3415197,1000,5 Star,0.038,0.039,0.038,1,fabricated_data,59
01-02-2016,NTR,65438,6829,72267,1580921,604073,37662,2222657,1200,4 Star,0.099,0.013,0.056,1,fabricated_data,55
01-02-2016,Guntur,61056,4294,65350,1462606,490337,23148,1976092,1200,4 Star,0.072,0.079,0.075,10,fabricated_data,75
01-02-2016,Visakhapatnam,113055,15553,128608,2975110,979685,54844,4009640,1200,4 Star,0.034,0.027,0.03,2,fabricated_data,39
01-02-2016,Alluri Seetarama Raju,53543,3990,57533,1203235,500828,19077,1723140,500,4 Star,0.028,0.056,0.042,9,fabricated_data,78
01-02-2016,Srikakulam,42823,3141,45964,995716,379727,11067,1386511,1500,5 Star,0.056,0.027,0.042,3,fabricated_data,52
01-02-2016,Chittoor,77294,6892,84186,2063279,442801,33066,2539145,1000,3 Star,0.04,0.035,0.038,9,fabricated_data,60
01-02-2016,Kakinada,53424,3535,56959,1486144,455543,16917,1958603,1200,5 Star,0.029,0.029,0.029,2,fabricated_data,36
01-02-2016,Nandyal,37849,2163,40012,999215,231769,8046,1239030,1000,3 Star,0.028,0.051,0.04,10,fabricated_data,49
01-02-2016,Krishna,74698,6862,81560,1506942,494176,47296,2048414,1000,4 Star,0.047,0.047,0.047,7,fabricated_data,31
01-03-2016,Tirupati,96158,8491,104649,2117258,804570,58415,2980243,500,5 Star,0.074,0.041,0.057,5,fabricated_data,59
01-03-2016,NTR,66574,6290,72864,1982994,457462,19311,2459767,700,3 Star,0.086,0.071,0.078,1,fabricated_data,31
01-03-2016,Guntur,65171,5284,70455,1744311,396134,29778,2170223,1500,3 Star,0.066,0.034,0.05,2,fabricated_data,79
01-03-2016,Visakhapatnam,109157,17147,126304,2627309,1021029,105103,3753441,1500,5 Star,0.079,0.071,0.075,6,fabricated_data,46
01-03-2016,Alluri Seetarama Raju,51675,4369,56044,1427411,464510,20719,1912640,1000,3 Star,0.03,0.048,0.039,9,fabricated_data,46
01-03-2016,Srikakulam,46171,3098,49269,1183565,318677,16091,1518333,500,3 Star,0.064,0.041,0.053,6,fabricated_data,33
01-03-2016,Chittoor,81655,7353,89008,2138945,597508,33229,2769682,700,4 Star,0.058,0.012,0.035,10,fabricated_data,35
01-03-2016,Kakinada,51138,3527,54665,1148595,377576,16145,1542316,700,5 Star,0.062,0.068,0.065,7,fabricated_data,74
01-03-2016,Nandyal,36570,2840,39410,970821,252347,10760,1233928,1500,4 Star,0.036,0.022,0.029,4,fabricated_data,42
01-03-2016,Krishna,71773,6124,77897,2011816,552351,25998,2590165,1200,4 Star,0.077,0.029,0.053,4,fabricated_data,71
01-04-2016,Tirupati,120539,8514,129053,3446711,1084719,31828,4563259,500,4 Star,0.035,0.074,0.054,4,fabricated_data,57
01-04-2016,NTR,89140,7308,96448,1821498,727896,49735,2599129,1500,4 Star,0.067,0.066,0.067,10,fabricated_data,38
01-04-2016,Guntur,69995,6730,76725,1938823,544784,27072,2510679,1200,4 Star,0.079,0.07,0.075,7,fabricated_data,63
01-04-2016,Visakhapatnam,132351,18668,151019,3244939,1049946,68550,4363435,1000,4 Star,0.058,0.047,0.053,6,fabricated_data,31
01-04-2016,Alluri Seetarama Raju,61703,4954,66657,1571389,380074,22608,1974071,1500,3 Star,0.06,0.079,0.07,3,fabricated_data,59
01-04-2016,Srikakulam,55899,3538,59437,1367173,481994,10838,1860004,1200,4 Star,0.028,0.061,0.044,10,fabricated_data,75
01-04-2016,Chittoor,101234,7807,109041,2677933,807721,35949,3521603,500,5 Star,0.047,0.053,0.05,1,fabricated_data,71
01-04-2016,Kakinada,68238,3658,71896,1801598,433703,19648,2254949,1000,4 Star,0.038,0.042,0.04,6,fabricated_data,63
01-04-2016,Nandyal,52743,3145,55888,1349052,456398,15287,1820737,1200,4 Star,0.097,0.022,0.059,9,fabricated_data,38
01-04-2016,Krishna,88370,7619,95989,2493630,442396,32026,2968053,1200,5 Star,0.094,0.026,0.06,3,fabricated_data,37
01-05-2016,Tirupati,131819,10829,142648,3348146,1214075,55053,4617274,700,5 Star,0.089,0.053,0.071,6,fabricated_data,55
01-05-2016,NTR,76660,6374,83034,1707492,514264,28834,2250590,700,5 Star,0.039,0.046,0.042,3,fabricated_data,49
01-05-2016,Guntur,71239,6181,77420,1792145,683678,30830,2506653,1200,3 Star,0.051,0.045,0.048,1,fabricated_data,35
01-05-2016,Visakhapatnam,153142,17355,170497,4407387,1430390,108012,5945789,1200,4 Star,0.026,0.038,0.032,2,fabricated_data,37
01-05-2016,Alluri Seetarama Raju,56683,5458,62141,1458477,547765,28931,2035173,1500,4 Star,0.045,0.052,0.049,1,fabricated_data,60
01-05-2016,Srikakulam,56859,3248,60107,1422934,397633,11646,1832213,1500,4 Star,0.025,0.012,0.019,9,fabricated_data,41
01-05-2016,Chittoor,87935,9097,97032,1866012,700970,61367,2628348,1200,4 Star,0.042,0.07,0.056,2,fabricated_data,62
01-05-2016,Kakinada,61406,3647,65053,1707554,448203,11789,2167546,1000,4 Star,0.025,0.059,0.042,9,fabricated_data,51
01-05-2016,Nandyal,44838,2617,47455,1247705,283687,9712,1541104,1200,3 Star,0.061,0.08,0.071,1,fabricated_data,41
01-05-2016,Krishna,84974,7036,92010,2256675,785167,41493,3083334,1500,5 Star,0.056,0.024,0.04,7,fabricated_data,56
01-06-2016,Tirupati,119559,8669,128228,2853967,1173963,34627,4062557,1000,3 Star,0.022,0.028,0.025,10,fabricated_data,58
01-06-2016,NTR,78786,7456,86242,1830593,722587,41136,2594316,1500,4 Star,0.025,0.013,0.019,1,fabricated_data,35
01-06-2016,Guntur,72690,5917,78607,2067563,399098,29307,2495968,1200,4 Star,0.046,0.062,0.054,8,fabricated_data,70
01-06-2016,Visakhapatnam,147285,19941,167226,3523637,1440611,70443,5034691,500,3 Star,0.095,0.067,0.081,1,fabricated_data,72
01-06-2016,Alluri Seetarama Raju,54461,5378,59839,1340545,445818,30318,1816681,1000,4 Star,0.071,0.053,0.062,7,fabricated_data,55
01-06-2016,Srikakulam,50221,3856,54077,1261663,421914,12211,1695787,500,5 Star,0.077,0.015,0.046,8,fabricated_data,35
01-06-2016,Chittoor,87082,8421,95503,2079166,636546,58664,2774376,1200,5 Star,0.095,0.065,0.08,3,fabricated_data,38
01-06-2016,Kakinada,60698,4401,65099,1677919,383929,13572,2075420,1200,3 Star,0.044,0.064,0.054,9,fabricated_data,78
01-06-2016,Nandyal,49606,2559,52165,1118820,312695,8386,1439901,500,4 Star,0.058,0.073,0.066,10,fabricated_data,69
01-06-2016,Krishna,86270,8923,95193,2244643,682578,53469,2980690,1200,4 Star,0.03,0.034,0.032,8,fabricated_data,59
01-07-2016,Tirupati,73520,6161,79681,1874828,510469,22517,2407813,1200,4 Star,0.094,0.057,0.075,3,fabricated_data,59
01-07-2016,NTR,57633,4491,62124,1622915,536382,28680,2187976,500,5 Star,0.04,0.063,0.052,5,fabricated_data,78
01-07-2016,Guntur,50382,4069,54451,1098627,265477,17416,1381521,1000,3 Star,0.095,0.013,0.054,2,fabricated_data,35
01-07-2016,Visakhapatnam,99557,10530,110087,2951994,740900,37936,3730831,1200,3 Star,0.053,0.063,0.058,1,fabricated_data,55
01-07-2016,Alluri Seetarama Raju,38380,3262,41642,1031994,359491,18088,1409573,1500,5 Star,0.033,0.049,0.041,8,fabricated_data,42
01-07-2016,Srikakulam,37630,2754,40384,789921,263691,17076,1070687,1000,3 Star,0.064,0.061,0.062,7,fabricated_data,60
01-07-2016,Chittoor,66404,5390,71794,1685795,506051,34454,2226301,700,4 Star,0.087,0.011,0.049,9,fabricated_data,77
01-07-2016,Kakinada,42837,2654,45491,920519,279641,17269,1217429,1500,4 Star,0.049,0.041,0.045,4,fabricated_data,69
01-07-2016,Nandyal,30190,1782,31972,803972,151234,6617,961824,700,4 Star,0.033,0.023,0.028,4,fabricated_data,50
01-07-2016,Krishna,64491,5215,69706,1756351,356035,20348,2132733,1200,4 Star,0.059,0.052,0.055,3,fabricated_data,43
01-08-2016,Tirupati,85200,6396,91596,1769654,450943,27739,2248336,700,4 Star,0.037,0.068,0.053,3,fabricated_data,57
01-08-2016,NTR,52051,4552,56603,1266931,283314,17673,1567918,1000,5 Star,0.081,0.061,0.071,6,fabricated_data,62
01-08-2016,Guntur,47243,4163,51406,1316025,264168,19315,1599508,1200,5 Star,0.079,0.077,0.078,5,fabricated_data,39
01-08-2016,Visakhapatnam,93354,11404,104758,1891536,478062,72151,2441748,1500,4 Star,0.061,0.031,0.046,5,fabricated_data,32
01-08-2016,Alluri Seetarama Raju,42821,2936,45757,1017818,312964,14456,1345238,1500,4 Star,0.095,0.059,0.077,10,fabricated_data,34
01-08-2016,Srikakulam,37641,2397,40038,917255,325502,14531,1257288,1200,3 Star,0.08,0.056,0.068,4,fabricated_data,30
01-08-2016,Chittoor,61219,4834,66053,1246595,390491,19831,1656918,700,4 Star,0.054,0.069,0.061,6,fabricated_data,33
01-08-2016,Kakinada,43890,2408,46298,905298,418368,8565,1332231,1200,4 Star,0.053,0.034,0.043,2,fabricated_data,66
01-08-2016,Nandyal,32309,1776,34085,931189,225105,11209,1167503,500,3 Star,0.099,0.028,0.064,3,fabricated_data,66
01-08-2016,Krishna,56294,4947,61241,1299659,548032,33983,1881674,1500,3 Star,0.022,0.06,0.041,10,fabricated_data,34
01-09-2016,Tirupati,103675,8108,111783,3090051,636258,37426,3763735,1000,3 Star,0.083,0.048,0.066,2,fabricated_data,55
01-09-2016,NTR,69416,5972,75388,1503394,675313,38220,2216927,700,4 Star,0.057,0.039,0.048,7,fabricated_data,57
01-09-2016,Guntur,54747,5018,59765,1536422,399445,16097,1951964,500,5 Star,0.09,0.048,0.069,4,fabricated_data,67
01-09-2016,Visakhapatnam,120465,13671,134136,3466778,1132119,88620,4687517,1000,3 Star,0.056,0.079,0.068,10,fabricated_data,57
